"cwc_base","cwc_inc","uwc_base","uwc_inc"
-2.14820262373437,0.671250650260414,-3.2127332198908,0.756008024799011
-2.32745296693733,0.796798451414031,-4.64231012186366,1.13971510828616
-2.05799602679706,0.757501936233071,-4.72592351073904,1.25926243106673
-2.07933655818899,0.877377136639727,-3.84075569972452,1.02434453087508
-1.6831690483127,0.77034969021066,-3.46596505630201,0.927117219271766
-2.0839994712281,0.667861185409983,-3.62748733845273,0.80993961372467
-2.31498956058961,0.935005001592449,-4.48487560928305,1.06646211948836
-2.58472759052176,1.04811896988157,-4.42649592947613,1.04791569940453
-1.63088207325914,0.720749486490527,-3.77094838421173,0.850255257064348
-1.61403606118492,0.70839888182687,-3.43180612575431,0.944444383410405
-1.60241512949956,0.726078935425383,-3.96393792511556,0.884771261319647
-1.94485918983282,0.727787951266636,-4.42733507700208,1.12886512600825
-1.72083919358843,0.797645208944783,-3.20618129136535,0.713755395568695
-1.80213530784707,0.75586449959964,-3.43973825199698,0.819023211788571
-1.97578498258126,0.720351966143818,-3.13498381657272,0.797627242465189
-1.72641335297631,0.55910301649242,-4.89398346159518,1.30205927996026
-1.43782440934124,0.628007833244936,-3.7522796543172,0.868697401270775
-1.64411840197739,0.735412098879959,-3.97431604004541,1.03257055857439
-1.66407463153939,0.807200537911865,-3.99346457914627,0.874694909156455
-1.81385552899238,0.732440905698338,-3.74035850454732,0.927820191015352
-1.92021879683338,0.741606790615888,-3.34952911774432,0.687352191306007
-1.74817292046561,0.731439690528462,-3.54824009437219,0.840694964523298
-2.08573584871163,0.840632533772204,-3.42063698257679,0.868383688686987
-2.10493025298306,0.853451976546982,-4.20596104680255,1.12270631104281
-2.40144081295837,0.970818496768601,-4.48714279842478,1.22470182856452
-1.59880611428361,0.66484369328773,-3.66477957565515,0.930040709992768
-1.85169719374216,0.608781256360469,-3.67963742811631,0.814119746302614
-1.62196867213456,0.670140355938819,-3.02175434689194,0.8214961058245
-1.69768690843076,0.700755090021893,-3.30010143661407,0.836194314712551
-2.32669672349968,0.971756746449734,-3.93179375376172,0.973385591274085
-2.37341999396191,1.00069739657922,-2.96371251529471,0.803984074534692
-2.43648085613291,0.966399848689886,-3.35045454640047,0.895842201850473
-2.4035438787232,1.03960976884,-3.59639272401032,0.817000271425588
-2.2756474249975,0.928341811822958,-3.82071483318232,0.856731169143551
-2.07408982712375,0.936100747110267,-5.70174887090187,1.35727004747468
-2.11363920840335,0.832005635506858,-5.86973587088359,1.67273244754252
-2.18773772077126,0.91340497969219,-6.48800900124318,1.70256344812967
-2.1981846190093,0.901570841020806,-6.35450550043454,1.59954861676226
-2.36713767453311,0.887439342424705,-4.76524769600122,1.27637840805559
-2.36713767453311,0.887439342424705,-4.76524769600122,1.27637840805559
-1.61865531729693,0.682497470256065,-3.80500302900275,0.944376323228995
-2.02550088179156,0.754965982133919,-4.05859313326852,0.977753353506661
-1.80770774784937,0.708503395869973,-3.68885896692556,0.945351623600108
-1.88000968638071,0.761021606262018,-4.1207723320505,1.09270628290024
-1.83129785887037,0.664390159166578,-4.54857282974121,1.16631377088292
-1.83031888947793,0.717184328730574,-3.87399876695303,0.960532610917689
-1.76614570869075,0.62407503173743,-3.37122790271785,0.904912250944725
-1.53083425898543,0.564371265842445,-3.65196617902355,0.838249910445424
-1.77503426223911,0.657054078000946,-3.89913717923769,0.867791751515801
-1.69776982359007,0.70922698195475,-4.10887059939871,1.01027658463856
-2.10639472173678,0.878849354747066,-3.75702596161636,0.989459332955174
-2.37790412405291,1.00365691278318,-3.83971079351439,0.900020437332875
-2.39495583473755,0.883775617045165,-4.09816395407553,1.00354815191889
-1.76908784332922,0.78426560242719,-4.24204328543675,0.981744866047273
-1.98154698012771,0.781362836646268,-3.80450784669564,1.03264124858605
-1.944410997894,0.761402239017457,-3.87125816235497,0.891091298436093
